Token,ShortName,Series,CompanyName,ticksize,Lotsize,DateOfListing,DateOfDeListing,IssuePrice,FaceValue,ISINCode,52WeeksHigh,52WeeksLow,LifeTimeHigh,LifeTimeLow,HighDate,LowDate,Symbol,InstrumentType,PermittedToTrade,IssueCapital,WarningPercent,FreezePercent,CreditRating,IssueRate,IssueStartDate,InterestPaymentDate,IssueMaturityDate,BoardLotQty,Name,ListingDate,ExpulsionDate,ReAdmissionDate,RecordDate,ExpiryDate,NoDeliveryStartDate,NoDeliveryEndDate,MFill,AON,ParticipantInMarketIndex,BookClsStartDate,BookClsEndDate,EGM,AGM,Interest,Bonus,Rights,Dividends,LocalUpdateDateTime,DeleteFlag,Remarks,NormalMarketStatus,OddLotMarketStatus,SpotMarketStatus,AuctionMarketStatus,NormalMarketEligibility,OddLotlMarketEligibility,SpotMarketEligibility,AuctionlMarketEligibility,MarginPercentage,ExchangeCode
757401,TQI25A,TB,91 Day T-Bill 04 Sep 25,0.01,1,,,0,100,IN002025X109,0,0,99.68,98,,,,0,0,0,104.21,94.28,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,91D040925
757402,THL25A,TB,182 Day T-Bill 04 Dec 25,0.01,1,,,0,100,IN002025Y107,0,0,98.45,96.85,,,,0,0,0,103.37,93.52,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,182D041225
757403,TYF26A,TB,364 Day T-Bill 04 Jun 26,0.01,1,,,0,100,IN002025Z104,0,0,94.72,94.7,,,,0,0,0,99.43,89.96,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,364D040626
757406,LLOPP1,E1,LLOYDS ENGINEERING WORKS LTD,0.01,1,,,0,10,IN9093R01019,0,0,60.5,36.15,,,,0,0,0,67.7,45.13,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,LLOYDSENPP
757409,SACLIM,SM,SACHEEROME LIMITED,0.01,1,,,0,10,INE1ARD01016,215,140.5,215,140.5,,,,0,0,0,211.6,141.1,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,SACHEEROME
757420,UGRRE1,BE,UGRO CAPITAL LIMITED RE,0.01,1,,,0,10,INE583D20011,12,3.26,12,3.26,,,,0,0,0,4.56,1.95,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,UGRO-RE
757431,MOTNIP,EQ,MOTILAL OSWAL NIFTY PSE ETF,0.01,1,,,0,10,INF247L01FO5,101.66,97.48,101.66,97.48,,,,0,0,0,120,80,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,MOPSE
757443,MOTTOU,EQ,MOTILAL OSWAL NIF IND TOUR ETF,0.01,1,,,0,10,INF247L01FP2,97.2,85.82,97.2,85.82,,,,0,0,0,112.9,75.27,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,MOTOUR
757446,TQI25B,TB,91 Day T Bill 11 Sep 25,0.01,1,,,0,100,IN002025X117,0,0,98.69,98.17,,,,0,0,0,103.16,93.33,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,91D110925
757447,THL25B,TB,182 Day T Bill 11 Dec 25,0.01,1,,,0,100,IN002025Y115,0,0,97.3,97.3,,,,0,0,0,102.16,92.43,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,182D111225
