Token,ShortName,Series,CompanyName,TickSize,LotSize,ScripCode,MarketLot,BCastFlag,AVMBuyMargin,AVMSellMargin,ScripID,ScripName,GroupName,NdFlag,NDSDate,NDEDate,SuspStatus,avmflag,SuspensionReason,Suspensiondate,DateOfListing,DateOfDeListing,IssuePrice,FaceValue,ISINCode,52WeeksHigh,52WeeksLow,LifeTimeHigh,LifeTimeLow,HighDate,LowDate,MarginPercentage,ExchangeCode
938984,INHN90,DR,9.65% INDIABULLS HOU. NOV 28,960,1,938984,0,0,0,0,965IHFL28A,9.65% INDIABULLS HOU. NOV 28,,,,,,,,,,,640,1000,INE148I07QQ1,0,0,0,0,,,,965IHFL28A
938986,INHN91,DR,10.15% INDIABULLS HOU. NOV 28,770.4,1,938986,0,0,0,0,1015IHFL28,10.15% INDIABULLS HOU. NOV 28,,,,,,,,,,,513.6,1000,INE148I07QR9,0,0,0,0,,,,1015IHFL28
938988,INHN92,DR,INDIABULLS HOU.FIN.II 9NOV28,960,1,938988,0,0,0,0,925IHFL28A,INDIABULLS HOU.FIN.II 9NOV28,,,,,,,,,,,640,1000,INE148I07QS7,0,0,0,0,,,,925IHFL28A
938990,INHN93,DR,INDIABULLS HOU.FIN.III 9NOV28,1200.8,1,938990,0,0,0,0,971IHFL28A,INDIABULLS HOU.FIN.III 9NOV28,,,,,,,,,,,800.54,1000,INE148I07QT5,0,0,0,0,,,,971IHFL28A
938992,INHN94,DR,10.5% INDIABULLS HOU. NOV 30,1028.6,1,938992,0,0,0,0,1050IHFL30,10.5% INDIABULLS HOU. NOV 30,,,,,,,,,,,685.74,1000,INE148I07QV1,0,0,0,0,,,,1050IHFL30
938994,INHN95,DR,INDIABULLS HOU.FIN.I 9NOV30,961.44,1,938994,0,0,0,0,1003IHF30A,INDIABULLS HOU.FIN.I 9NOV30,,,,,,,,,,,640.96,1000,INE148I07QX7,0,0,0,0,,,,1003IHF30A
938996,INHN96,DR,10.25% INDIABULLS HOU. NOV 33,1080,1,938996,0,0,0,0,1075IHF33B,10.25% INDIABULLS HOU. NOV 33,,,,,,,,,,,720,1000,INE148I07QY5,0,0,0,0,,,,1075IHF33B
938998,INHN97,DR,10.75% INDIABULLS HOU. NOV 33,1200,1,938998,0,0,0,0,980IHFL33,10.75% INDIABULLS HOU. NOV 33,,,,,,,,,,,800,1000,INE148I07QZ2,0,0,0,0,,,,980IHFL33
939000,INHN98,DR,INDIABULLS HOU.FIN.II 9NOV33,1080,1,939000,0,0,0,0,925IHFL25G,INDIABULLS HOU.FIN.II 9NOV33,,,,,,,,,,,720,1000,INE148I07RA3,0,0,0,0,,,,925IHFL25G
939002,INHN99,DR,INDIABULLS HOU.FIN.III 9NOV33,1068,1,939002,0,0,0,0,965IHFL25F,INDIABULLS HOU.FIN.III 9NOV33,,,,,,,,,,,712,1000,INE148I07RB1,0,0,0,0,,,,965IHFL25F
