Token,InstrumentName,ShortName,Series,ExpiryDate,StrikePrice,OptionType,CALevel,PermittedToTrade,IssueCapital,WarningQty,FreezeQty,CreditRating,NormalMarketStatus,OddLotMarketStatus,SpotMarketStatus,AuctionMarketStatus,NormalMarketEligibility,OddLotMarketEligibility,SpotMarketEligibility,AuctionMarketEligibility,IssueRate,IssueStartDate,InterestPaymentDate,IssueMaturityDate,MarginPercentage,MinimumLotQty,LotSize,TickSize,CompanyName,ListingDate,ExpulsionDate,ReAdmissionDate,RecordDate,LowPriceRange,HighPriceRange,SecurityExpiryDate,NoDeliveryStartDate,NoDeliveryEndDate,MF,AON,ParticipantInMarketIndex,BookClsStartDate,BookClsEndDate,ExcerciseStartDate,ExcerciseEndDate,OldToken,AssetInstrument,AssetName,AssetToken,IntrinsicValue,ExtrinsicValue,ExcerciseStyle,EGM,AGM,Interest,Bonus,Rights,Dividends,ExAllowed,ExRejectionAllowed,PlAllowed,IsThisAsset,IsCorpAdjusted,LocalUpdateDatetime,DeleteFlag,Remarks,BasePrice,ExchangeCode
1140923,OPTIND,BANKEX,OPTION,29-Jul-2025,58700,PE,0,0,0,0,0,,0,0,0,0,,,,,0,,,,0,0,30,5,BANKEX,,,,,0.05,20.05,,,,0-XXX,,,,,,,0,,,0,0,0,,,,,,,,BFO,,,,,,,,6298174,BANKEX
1140930,OPTIND,BSESEN,OPTION,29-Jul-2025,73400,PE,0,0,0,0,0,,0,0,0,0,,,,,0,,,,0,0,20,5,BSE SENSEX,,,,,0.05,20.05,,,,0-XXX,,,,,,,0,,,0,0,0,,,,,,,,BFO,,,,,,,,8028838,SENSEX
1140933,OPTIND,BSESEN,OPTION,29-Jul-2025,75700,PE,0,0,0,0,0,,0,0,0,0,,,,,0,,,,0,0,20,5,BSE SENSEX,,,,,0.05,20.05,,,,0-XXX,,,,,,,0,,,0,0,0,,,,,,,,BFO,,,,,,,,8028838,SENSEX
1140936,OPTIND,BANKEX,OPTION,29-Jul-2025,63000,CE,0,0,0,0,0,,0,0,0,0,,,,,0,,,,4020,0,30,5,BANKEX,,,,,0.05,2277.1,,,,0-XXX,,,,,,,0,,,0,0,0,,,,,,,,BFO,,,,,,,,6343444,BANKEX
1140937,OPTIND,BSESEN,OPTION,29-Jul-2025,87100,PE,0,0,0,0,0,,0,0,0,0,,,,,0,,,,20,0,20,5,BSE SENSEX,,,,,1998.35,7582.95,,,,0-XXX,,,,,,,0,,,0,0,0,,,,,,,,BFO,,,,,,,,8218681,SENSEX
1140941,OPTIND,BANKEX,OPTION,29-Jul-2025,66400,PE,0,0,0,0,0,,0,0,0,0,,,,,0,,,,30,0,30,5,BANKEX,,,,,686.4,4860.85,,,,0-XXX,,,,,,,0,,,0,0,0,,,,,,,,BFO,,,,,,,,6343444,BANKEX
1140943,OPTIND,BANKEX,OPTION,29-Jul-2025,68700,PE,0,0,0,0,0,,0,0,0,0,,,,,0,,,,0,0,30,5,BANKEX,,,,,2886.4,7248.8,,,,0-XXX,,,,,,,0,,,0,0,0,,,,,,,,BFO,,,,,,,,6298174,BANKEX
1140946,OPTIND,BSESEN,OPTION,29-Jul-2025,76400,CE,0,0,0,0,0,,0,0,0,0,,,,,0,,,,0,0,20,5,BSE SENSEX,,,,,3075,8718.1,,,,0-XXX,,,,,,,0,,,0,0,0,,,,,,,,BFO,,,,,,,,8028838,SENSEX
1140947,OPTIND,BSESEN,OPTION,29-Jul-2025,78700,CE,0,0,0,0,0,,0,0,0,0,,,,,0,,,,0,0,20,5,BSE SENSEX,,,,,644.4,6417.45,,,,0-XXX,,,,,,,0,,,0,0,0,,,,,,,,BFO,,,,,,,,8028838,SENSEX
1140948,OPTIND,BSESEN,OPTION,29-Jul-2025,81100,PE,0,0,0,0,0,,0,0,0,0,,,,,0,,,,31920,0,20,5,BSE SENSEX,,,,,0.05,831.1,,,,0-XXX,,,,,,,0,,,0,0,0,,,,,,,,BFO,,,,,,,,8218681,SENSEX
1140950,OPTIND,BSESEN,OPTION,29-Jul-2025,83400,PE,0,0,0,0,0,,0,0,0,0,,,,,0,,,,540,0,20,5,BSE SENSEX,,,,,0.05,3154.2,,,,0-XXX,,,,,,,0,,,0,0,0,,,,,,,,BFO,,,,,,,,8218681,SENSEX
1140951,OPTIND,BSESEN,OPTION,29-Jul-2025,85700,PE,0,0,0,0,0,,0,0,0,0,,,,,0,,,,0,0,20,5,BSE SENSEX,,,,,718.3,6435.35,,,,0-XXX,,,,,,,0,,,0,0,0,,,,,,,,BFO,,,,,,,,8225346,SENSEX
1140953,OPTIND,BANKEX,OPTION,29-Jul-2025,62700,PE,0,0,0,0,0,,0,0,0,0,,,,,0,,,,1050,0,30,5,BANKEX,,,,,0.05,688.05,,,,0-XXX,,,,,,,0,,,0,0,0,,,,,,,,BFO,,,,,,,,6343444,BANKEX
1140968,OPTIND,BANKEX,OPTION,29-Jul-2025,67000,PE,0,0,0,0,0,,0,0,0,0,,,,,0,,,,0,0,30,5,BANKEX,,,,,1228.45,5512.35,,,,0-XXX,,,,,,,0,,,0,0,0,,,,,,,,BFO,,,,,,,,6357599,BANKEX
