ShortName,CompanyName,ISINCode,ExchangeCode
20D001,10.70% GOI LOAN 22/04/2020,INY020000025,CG1070S0020
20L001,11.60% GOI LOAN 27/12/2020,INY020000124,CG1160S0020
20MICR,20 MICRONS LIMITED,INE144J01027,20MICRONS
2.10E+02,10.25% GOI LOAN 30/05/2021,INY020010040,CG1025S0121
2.20E+02,8.35% GOI LOAN 14/05/2022,INY020020072,CG0835S0222
26I001,10.18% GOI LOAN 11/09/2026,INY020010081,CG1018S0126
32H001,7.95% GOI LOAN 28/08/2032,INY020020106,CG0795S0232
3BFLIM,3B FILMS LIMITED,INE0TE101010,3BFILMS
3CITSO,3C IT SOLUTI AND TELE IND LTD,INE0R7D01018,3CIT
3DPPRF,3D PLM SOFTWARE SOLUTIONS LTD,INE657W04017,3DPLM
3IINFO,3I INFOTECH LIMITED,INE748C01038,3IINFOLTD
3MIND,3M INDIA LIMITED,INE470A01017,3MINDIA
5PACAP,FIVE PAISA CAPITAL LIMITED,INE618L01018,5PAISA
611G73,GSEC 2073 7.46 % 6th Nov 2073,IN0020230127,746GS2073
654A32,6.54% G-SEC. 17 JAN 32,IN0020210244,654GS2032
706D28,GSEC 7.06 10AP28,IN0020230010,706GS2028
718G37,7.18% G-Sec. 24 Jul 37,IN0020230077,718GS2037
718H33,GSEC 7.18 14AG33,IN0020230085,718GS2033
723D39,7.23% G-sec. 14 Apr 2039,IN0020240027,723GS2039
726B33,GSEC 7.26 06FB33,IN0020220151,726GS2033
733J26,7.33% G-Sec. 30 Oct 26,IN0020230119,733GS2026
734D64,7.34% G-sec. 22 Apr 64,IN0020240035,734GS2064
7NRRE1,7NR RETAIL LTD RIGHTS ENT,INE413X20019,7NR-RE
7NRRE2,7NR RETAIL LIMITED RE,INE413X20027,7NR-RE1
7NRRET,7NR RETAIL LIMITED,INE413X01035,7NR
7SETEC,7SEAS ENTERTAINMENT LIMITED,INE454F01010,7SEASL
8KMILE,SECUREKLOUD TECHNOLOGIES LTD,INE650K01021,SECURKLOUD
A1ACID,A-1 LIMITED,INE911Z01017,A1L
A1CHAM,AI CHAMPDANY INDUSTRIES LIMITE,INE768E01024,AICHAMP
A2ZMAI,A2Z INFRA ENGINEERING LIMITED,INE619I01012,A2ZINFRA
AAATEC,AAA TECHNOLOGIES LIMITED,INE0D0U01013,AAATECH
AADHOS,AADHAR HOUSING FINANCE LIMITED,INE883F01010,AADHARHFC
AADIND,AADI INDUSTRIES LTD,INE563D01013,AADIIND
AADVEN,AADHAAR VENTURES INDIA LIMITED,INE063D01030,AADHAARVEN
AAGCAP,AAGAM CAPITAL LIMITED,INE817D01013,AAGAMCAP
AAKENG,AAKAR ENGINEERING &,INE814B01014,AAKARENG
AAMTOO,JAINEX AAMCOL LTD,INE280F01019,JAINEX
AANGRA,AANKIT GRANITES,,
AANISP,AANCHAL ISPAT LIMITED,INE322R01014,AANCHALISP
AANLAK,AANANDA LAKSHMI SPINNING MILLS,INE197R01010,AANANDALAK
AAPLUS,AA PLUS TRADELINK LTD,INE0C5901022,AAPLUSTRAD
AAPRE1,AA PLUS TRADELINK LTD RE,INE0C5920014,ATRADE-RE
AARCOM,AAR COMMERCIAL COMPANY LTD,INE184K01013,AARCOM
AARDEN,AARVEE DENIMS AND EXPORTS LTD,INE273D01019,AARVEEDEN
AARDR,AAREY DRUGS & PHARMACEUTICALS,INE198H01019,AAREYDRUGS
AARDRU,AARTI DRUGS LIMITED,INE767A01016,AARTIDRUGS
AARGLO,AARYA GLOB. SHARES & SECU. LTD,INE233H01030,AARYAGLOBL
AARIND,AARTI INDUSTRIES LTD,INE769A01020,AARTIIND
AARND1,AARTI SURFACTANTS 4PREF 19AG26,INE09EO04017,AARTISURFP
AARPHA,AARTI PHARMALABS LIMITED,INE0LRU01027,AARTIPHARM
AARPP1,AARTI SURFACTANTS LTD PP,IN909EO01012,AARTIPP
