"Token","InstrumentName","ShortName","Series","ExpiryDate","StrikePrice","OptionType","CALevel","PermittedToTrade","IssueCapital","WarningQty","FreezeQty","CreditRating","NormalMarketStatus","OddLotMarketStatus","SpotMarketStatus","AuctionMarketStatus","NormalMarketEligibility","OddLotMarketEligibility","SpotMarketEligibility","AuctionMarketEligibility","IssueRate","IssueStartDate","InterestPaymentDate","IssueMaturityDate","MarginPercentage","MinimumLotQty","LotSize","TickSize","CompanyName","ListingDate","ExpulsionDate","ReAdmissionDate","RecordDate","LowPriceRange","HighPriceRange","SecurityExpiryDate","NoDeliveryStartDate","NoDeliveryEndDate","MF","AON","ParticipantInMarketIndex","BookClsStartDate","BookClsEndDate","ExcerciseStartDate","ExcerciseEndDate","OldToken","AssetInstrument","AssetName","AssetToken","IntrinsicValue","ExtrinsicValue","ExcerciseStyle","EGM","AGM","Interest","Bonus","Rights","Dividends","ExAllowed","ExRejectionAllowed","PlAllowed","IsThisAsset","IsCorpAdjusted","LocalUpdateDatetime","DeleteFlag","Remarks","BasePrice","ExchangeCode"
"2656","OPTCUR","EURINR","OPTION","26-Sep-2025",97.5000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",3.195,4.505,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",2.7275,"EURINR"
"2687","OPTCUR","EURINR","OPTION","26-Sep-2025",98.7500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",1.465,2.265,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",2.595,"EURINR"
"2686","OPTCUR","EURINR","OPTION","26-Sep-2025",98.7500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",2.525,3.685,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",2.1175,"EURINR"
"2407","OPTCUR","EURINR","OPTION","26-Sep-2025",87.7500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",11.12,13.045,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",10.3925,"EURINR"
"2426","OPTCUR","EURINR","OPTION","26-Sep-2025",89.5000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",9.47,11.355,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",8.76,"EURINR"
"2476","OPTCUR","EURINR","OPTION","26-Sep-2025",91.5000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",7.66,9.475,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",6.98,"EURINR"
"2501","OPTCUR","EURINR","OPTION","26-Sep-2025",93.2500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",6.18,7.89,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",5.5425,"EURINR"
"2427","OPTCUR","EURINR","OPTION","26-Sep-2025",89.5000,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",0.055,0.125,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.1525,"EURINR"
"2580","OPTCUR","EURINR","OPTION","26-Sep-2025",95.2500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",4.65,6.2,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",4.0825,"EURINR"
"2677","OPTCUR","EURINR","OPTION","26-Sep-2025",97.7500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",1.1325,1.8075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",2.0925,"EURINR"
